Date,Voucher,VoucherNo,Code,Narration,ChqNo,Debit,Credit,Running Bal,Category
03/07/2023,BILL,SJ37692,NSE_FNO,BILL ENTRY FOR FO-20230703,0,0,2851.11,73839.31,trades
04/07/2023,BILL,SJ37693,NSE_FNO,BILL ENTRY FOR FO-20230704,0,0,450.79,74290.1,trades
05/07/2023,BILL,SJ238,BSE_CASH,BILL ENTRY FOR M-2023564,0,10466.17,0,63823.93,trades
05/07/2023,BILL,SJ37694,NSE_FNO,BILL ENTRY FOR FO-20230705,0,1951.42,0,61872.51,trades
06/07/2023,BILL,SJ37720,NSE_FNO,BILL ENTRY FOR FO-20230706,0,0,374.73,62247.24,trades
07/07/2023,BILL,SJ37721,NSE_FNO,BILL ENTRY FOR FO-20230707,0,1466.25,0,60780.99,trades
10/07/2023,BILL,SJ37722,NSE_FNO,BILL ENTRY FOR FO-20230710,0,3083.62,0,57697.37,trades
11/07/2023,BILL,SJ37723,NSE_FNO,BILL ENTRY FOR FO-20230711,0,2724.14,0,54973.23,trades
12/07/2023,BILL,SJ37724,NSE_FNO,BILL ENTRY FOR FO-20230712,0,0,1183.63,56156.86,trades
13/07/2023,BILL,SJ37725,NSE_FNO,BILL ENTRY FOR FO-20230713,0,399.87,0,55756.99,trades
14/07/2023,BILL,SJ37726,NSE_FNO,BILL ENTRY FOR FO-20230714,0,2691.6,0,53065.39,trades
17/07/2023,BILL,SJ37727,NSE_FNO,BILL ENTRY FOR FO-20230717,0,0,6213.08,59278.47,trades
18/07/2023,BILL,SJ37728,NSE_FNO,BILL ENTRY FOR FO-20230718,0,2011.84,0,57266.63,trades
19/07/2023,BILL,SJ37729,NSE_FNO,BILL ENTRY FOR FO-20230719,0,414.22,0,56852.41,trades
20/07/2023,BILL,SJ37730,NSE_FNO,BILL ENTRY FOR FO-20230720,0,0,8253.69,65106.1,trades
21/07/2023,BILL,SJ37731,NSE_FNO,BILL ENTRY FOR FO-20230721,0,1639.84,0,63466.26,trades
24/07/2023,BILL,SJ37732,NSE_FNO,BILL ENTRY FOR FO-20230724,0,1050.72,0,62415.54,trades
25/07/2023,BILL,SJ37733,NSE_FNO,BILL ENTRY FOR FO-20230725,0,1538.3,0,60877.24,trades
26/07/2023,BILL,SJ37734,NSE_FNO,BILL ENTRY FOR FO-20230726,0,2041.38,0,58835.86,trades
27/07/2023,BILL,SJ37735,NSE_FNO,BILL ENTRY FOR FO-20230727,0,1371.49,0,57464.37,trades
28/07/2023,BILL,SJ37736,NSE_FNO,BILL ENTRY FOR FO-20230728,0,703.15,0,56761.22,trades
31/07/2023,BILL,SJ37737,NSE_FNO,BILL ENTRY FOR FO-20230731,0,507.86,0,56253.36,trades
01/08/2023,BILL,SJ49551,NSE_FNO,BILL ENTRY FOR FO-20230801,0,935.47,0,55317.89,trades
02/08/2023,BILL,SJ49552,NSE_FNO,BILL ENTRY FOR FO-20230802,0,2385.17,0,52873.72,trades
03/08/2023,BILL,SJ49569,NSE_FNO,BILL ENTRY FOR FO-20230803,0,0,4745.69,57619.41,trades
04/08/2023,BILL,SJ49570,NSE_FNO,BILL ENTRY FOR FO-20230804,0,2473.35,0,55146.06,trades
07/08/2023,BILL,SJ49583,NSE_FNO,BILL ENTRY FOR FO-20230807,0,896.46,0,54249.6,trades
08/08/2023,BILL,SJ49584,NSE_FNO,BILL ENTRY FOR FO-20230808,0,1375.49,0,52874.11,trades
09/08/2023,BILL,SJ49585,NSE_FNO,BILL ENTRY FOR FO-20230809,0,0,5905.4,58779.51,trades
10/08/2023,BILL,SJ49586,NSE_FNO,BILL ENTRY FOR FO-20230810,0,2876.1,0,55903.41,trades
11/08/2023,BILL,SJ49587,NSE_FNO,BILL ENTRY FOR FO-20230811,0,581.32,0,55322.09,trades
14/08/2023,BILL,SJ48939,BSE_CASH,BILL ENTRY FOR M-2023592,0,0,2382.3,57704.39,trades
14/08/2023,BILL,SJ49588,NSE_FNO,BILL ENTRY FOR FO-20230814,0,772.47,0,56931.92,trades
16/08/2023,BILL,SJ49589,NSE_FNO,BILL ENTRY FOR FO-20230816,0,0,1108.78,58023,trades
17/08/2023,BILL,SJ49590,NSE_FNO,BILL ENTRY FOR FO-20230817,0,1891.51,0,56131.49,trades
18/08/2023,BILL,SJ49594,NSE_FNO,BILL ENTRY FOR FO-20230818,0,413.42,0,55678.77,trades
21/08/2023,BILL,SJ49595,NSE_FNO,BILL ENTRY FOR FO-20230821,0,0,2078.97,57757.74,trades
22/08/2023,BILL,SJ49596,NSE_FNO,BILL ENTRY FOR FO-20230822,0,1140.47,0,56617.27,trades
23/08/2023,BILL,SJ49597,NSE_FNO,BILL ENTRY FOR FO-20230823,0,0,5977.68,62594.95,trades
24/08/2023,BILL,SJ49598,NSE_FNO,BILL ENTRY FOR FO-20230824,0,2168.08,0,60426.87,trades
25/08/2023,BILL,SJ49599,NSE_FNO,BILL ENTRY FOR FO-20230825,0,36.94,0,60389.93,trades
28/08/2023,BILL,SJ49600,NSE_FNO,BILL ENTRY FOR FO-20230828,0,0,1034.17,61424.1,trades
